MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart,ReasonRemoved,index
CO_Water Use Data,CODWR,,CO_Site Specific,COss_WS27,131.9028,,,Quantification of amount,,,,03/09/2021,,,,,,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad SiteUUID,12487.0
CO_Water Use Data,CODWR,,CO_Site Specific,COss_WS27,43.8354,,,Quantification of amount,,,,03/09/2021,,,,,,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad SiteUUID,12488.0
CO_Water Use Data,CODWR,,CO_Site Specific,COss_WS27,13.0911,,,Quantification of amount,,,,03/09/2021,,,,,,,,Unspecified,1985,,12/31/1985,01/01/1985,Bad SiteUUID,12489.0
CO_Water Use Data,CODWR,,CO_Site Specific,COss_WS27,32.7278,,,Quantification of amount,,,,03/09/2021,,,,,,,,Unspecified,1986,,12/31/1986,01/01/1986,Bad SiteUUID,12490.0
CO_Water Use Data,CODWR,,CO_Site Specific,COss_WS27,32.7278,,,Quantification of amount,,,,03/09/2021,,,,,,,,Unspecified,1987,,12/31/1987,01/01/1987,Bad SiteUUID,12491.0
CO_Water Use Data,CODWR,,CO_Site Specific,COss_WS27,31.736,,,Quantification of amount,,,,03/09/2021,,,,,,,,Unspecified,1988,,12/31/1988,01/01/1988,Bad SiteUUID,12492.0
CO_Water Use Data,CODWR,,CO_Site Specific,COss_WS27,31.736,,,Quantification of amount,,,,03/09/2021,,,,,,,,Unspecified,1994,,12/31/1994,01/01/1994,Bad SiteUUID,12493.0
CO_Water Use Data,CODWR,,CO_Site Specific,COss_WS27,31.736,,,Quantification of amount,,,,03/09/2021,,,,,,,,Unspecified,1996,,12/31/1996,01/01/1996,Bad SiteUUID,12494.0
CO_Water Use Data,CODWR,,CO_Site Specific,COss_WS27,31.736,,,Quantification of amount,,,,03/09/2021,,,,,,,,Unspecified,1997,,12/31/1997,01/01/1997,Bad SiteUUID,12495.0
CO_Water Use Data,CODWR,,CO_Site Specific,COss_WS27,15.868,,,Quantification of amount,,,,03/09/2021,,,,,,,,Unspecified,1998,,12/31/1998,01/01/1998,Bad SiteUUID,12496.0
