WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
NEwr_WS1,,,Fresh,Mumm Reservoir,,Surface Water
NEwr_WS2,,,Fresh,Bowman Spring Branch Reservoir No. 2-A,,Surface Water
NEwr_WS3,,,Fresh,Bowman Spring Branch Reservoir No. 3-E,,Surface Water
NEwr_WS4,,,Fresh,Buckley Creek Reservoir 3-C,,Surface Water
NEwr_WS5,,,Fresh,Buckley Creek Reservoir 3-A,,Surface Water
NEwr_WS6,,,Fresh,Buckley Creek Reservoir 3-D,,Surface Water
NEwr_WS7,,,Fresh,Buckley Creek Reservoir 4-B,,Surface Water
NEwr_WS8,,,Fresh,Wilson Creek Reservoir 8-H,,Surface Water
NEwr_WS9,,,Fresh,Wilson Creek Reservoir 5-J,,Surface Water
NEwr_WS10,,,Fresh,Upper Big Nemaha Reservoir 21-B,,Surface Water
NEwr_WS11,,,Fresh,Upper Big Nemaha Reservoir 13-A,,Surface Water
NEwr_WS12,,,Fresh,Scott Reservoir,,Surface Water
NEwr_WS13,,,Fresh,Salt Creek Reservoir 35,,Surface Water
NEwr_WS14,,,Fresh,Haines Branch,,Surface Water
NEwr_WS15,,,Fresh,Oak-Middle Reservoir 63-D,,Surface Water
NEwr_WS16,,,Fresh,Oak-Middle Reservoir 66-A,,Surface Water
NEwr_WS17,,,Fresh,Oak-Middle Reservoir 87-A,,Surface Water
NEwr_WS18,,,Fresh,Oak-Middle Reservoir 86-A,,Surface Water
NEwr_WS19,,,Fresh,Oak-Middle Reservoir 82-B,,Surface Water
NEwr_WS20,,,Fresh,North Oak Reservoir 6-B,,Surface Water
NEwr_WS21,,,Fresh,North Oak Reservoir 3-A,,Surface Water
NEwr_WS22,,,Fresh,Carter P Johnson Reservoir,,Surface Water
NEwr_WS23,,,Fresh,Moody Reservoir No. 1,,Surface Water
NEwr_WS24,,,Fresh,Morris Reservoir,,Surface Water
NEwr_WS25,,,Fresh,"Blue River, Little",,Surface Water
NEwr_WS26,,,Fresh,"Verdigre Creek, Middle Branch",,Surface Water
NEwr_WS27,,,Fresh,Pawnee Creek,,Surface Water
NEwr_WS28,,,Fresh,Pohlmeier Reservoir,,Surface Water
NEwr_WS29,,,Fresh,Logan Creek,,Surface Water
NEwr_WS30,,,Fresh,"Nemaha River, Big, Middle Branch",,Surface Water
NEwr_WS31,,,Fresh,Dog Creek,,Surface Water
NEwr_WS32,,,Fresh,Platte River,,Surface Water
NEwr_WS33,,,Fresh,"Wood River, Trib. To",,Surface Water
NEwr_WS34,,,Fresh,Elkhorn River,,Surface Water
NEwr_WS35,,,Fresh,"Rock Creek, Trib. To",,Surface Water
NEwr_WS36,,,Fresh,"Nemaha River, Big, North Fork, Trib. To",,Surface Water
NEwr_WS37,,,Fresh,"Sandy Creek, Little",,Surface Water
NEwr_WS38,,,Fresh,Plum Creek,,Surface Water
NEwr_WS39,,,Fresh,"North Platte River, Trib. To",,Surface Water
NEwr_WS40,,,Fresh,"Elkhorn River, Trib. To",,Surface Water
NEwr_WS41,,,Fresh,Cache Creek,,Surface Water
NEwr_WS42,,,Fresh,Buffalo Creek,,Surface Water
NEwr_WS43,,,Fresh,Oak Prairie Irrigation Pit,,Surface Water
NEwr_WS44,,,Fresh,Cedar River,,Surface Water
NEwr_WS45,,,Fresh,"Middle Creek, South Branch, Trib. To",,Surface Water
NEwr_WS46,,,Fresh,Crystal Creek,,Surface Water
NEwr_WS47,,,Fresh,"Pawnee Creek, Trib. To",,Surface Water
NEwr_WS48,,,Fresh,"Weeping Water Creek, Trib. To",,Surface Water
NEwr_WS49,,,Fresh,Shell Creek,,Surface Water
NEwr_WS50,,,Fresh,"Sandy Creek, Dry, Trib. To",,Surface Water
NEwr_WS51,,,Fresh,Salt Creek,,Surface Water
NEwr_WS52,,,Fresh,Redbird Creek,,Surface Water
NEwr_WS53,,,Fresh,"Thirty-Two Mile Creek, West Branch, Trib. To",,Surface Water
NEwr_WS54,,,Fresh,North Reservoir,,Surface Water
NEwr_WS55,,,Fresh,Spring Branch,,Surface Water
NEwr_WS56,,,Fresh,Eagle Creek,,Surface Water
NEwr_WS57,,,Fresh,Mud (Beaver) Creek,,Surface Water
NEwr_WS58,,,Fresh,Loup River,,Surface Water
NEwr_WS59,,,Fresh,Niobrara River,,Surface Water
NEwr_WS60,,,Fresh,Sand Creek,,Surface Water
NEwr_WS61,,,Fresh,"Sandy Creek, Big",,Surface Water
NEwr_WS62,,,Fresh,Verdigre Creek,,Surface Water
NEwr_WS63,,,Fresh,Callahan Creek,,Surface Water
NEwr_WS64,,,Fresh,"Loup River, North",,Surface Water
NEwr_WS65,,,Fresh,"Loup River, Middle",,Surface Water
NEwr_WS66,,,Fresh,Spring Creek,,Surface Water
NEwr_WS67,,,Fresh,Rawhide Creek,,Surface Water
NEwr_WS68,,,Fresh,Freeman Creek,,Surface Water
NEwr_WS69,,,Fresh,White River,,Surface Water
NEwr_WS70,,,Fresh,Piper Creek,,Surface Water
NEwr_WS71,,,Fresh,Lincoln Creek,,Surface Water
NEwr_WS72,,,Fresh,Turkey Creek,,Surface Water
NEwr_WS73,,,Fresh,Tara Reservoir,,Surface Water
NEwr_WS74,,,Fresh,Haba Reservoir,,Surface Water
NEwr_WS75,,,Fresh,"Verdigre Creek, South Branch",,Surface Water
NEwr_WS76,,,Fresh,"Ash Creek, Trib. To",,Surface Water
NEwr_WS77,,,Fresh,Munson Creek,,Surface Water
NEwr_WS78,,,Fresh,Korgan Reservoir,,Surface Water
NEwr_WS79,,,Fresh,Ternes Reservoir,,Surface Water
NEwr_WS80,,,Fresh,"Nemaha River, Little, Trib. To",,Surface Water
NEwr_WS81,,,Fresh,Wahoo Creek,,Surface Water
NEwr_WS82,,,Fresh,"Oak Creek, Trib. To",,Surface Water
NEwr_WS83,,,Fresh,"Salt Creek, Trib. To",,Surface Water
NEwr_WS84,,,Fresh,"Mud Creek, Trib. To",,Surface Water
NEwr_WS85,,,Fresh,"Muddy Creek, Trib. To",,Surface Water
NEwr_WS86,,,Fresh,"Sampson Branch, Trib. To",,Surface Water
NEwr_WS87,,,Fresh,Antelope Creek,,Surface Water
NEwr_WS88,,,Fresh,Whitney Reservoir,,Surface Water
NEwr_WS89,,,Fresh,"Warm Slough, Lower",,Surface Water
NEwr_WS90,,,Fresh,Wood River,,Surface Water
NEwr_WS91,,,Fresh,"Warm Slough, Upper",,Surface Water
NEwr_WS92,,,Fresh,"Sandall, Wesley, Reservoir",,Surface Water
NEwr_WS93,,,Fresh,Soldier Creek,,Surface Water
NEwr_WS94,,,Fresh,"Salt Creek, Little, Trib. To",,Surface Water
NEwr_WS95,,,Fresh,"Turkey Creek, Trib. To",,Surface Water
NEwr_WS96,,,Fresh,"School Creek, Trib. To",,Surface Water
NEwr_WS97,,,Fresh,Poppe Reservoir,,Surface Water
NEwr_WS98,,,Fresh,Otter Creek,,Surface Water
NEwr_WS99,,,Fresh,"Blue River, Big, West Fork",,Surface Water
NEwr_WS100,,,Fresh,Buckhorn Spring,,Surface Water
NEwr_WS101,,,Fresh,"Bordeaux Creek, Big",,Surface Water
NEwr_WS102,,,Fresh,School Creek,,Surface Water
NEwr_WS103,,,Fresh,Old Weeping Water Quarry Pit,,Surface Water
NEwr_WS104,,,Fresh,Martin Marietta Fresh Water Reservoir,,Surface Water
NEwr_WS105,,,Fresh,Andersen Reservoir,,Surface Water
NEwr_WS106,,,Fresh,Norm Parde Reservoir,,Surface Water
NEwr_WS107,,,Fresh,Oeltjen Reservoir,,Surface Water
NEwr_WS108,,,Fresh,"Bow Creek, West",,Surface Water
NEwr_WS109,,,Fresh,Behrends Reservoir,,Surface Water
NEwr_WS110,,,Fresh,Clark Creek,,Surface Water
NEwr_WS111,,,Fresh,Deer Creek,,Surface Water
NEwr_WS112,,,Fresh,Antelope Creek Lake,,Surface Water
NEwr_WS113,,,Fresh,A. Nagel Pond,,Surface Water
NEwr_WS114,,,Fresh,"Verdigre Creek, North Branch",,Surface Water
NEwr_WS115,,,Fresh,Thomas Reservoir,,Surface Water
NEwr_WS116,,,Fresh,Schindler Creek,,Surface Water
NEwr_WS117,,,Fresh,"Platte River, Trib. To",,Surface Water
NEwr_WS118,,,Fresh,"Blue River, Little, Trib. To",,Surface Water
NEwr_WS119,,,Fresh,"Nemaha River, Little, North Fork",,Surface Water
NEwr_WS120,,,Fresh,Delbert Boelter Reservoir,,Surface Water
NEwr_WS121,,,Fresh,"Sand Creek, South Branch",,Surface Water
NEwr_WS122,,,Fresh,"Pishel Creek, Trib. To",,Surface Water
NEwr_WS123,,,Fresh,"Liberty Creek, Trib. To",,Surface Water
NEwr_WS124,,,Fresh,John Hubl Reservoir,,Surface Water
NEwr_WS125,,,Fresh,"Sandy Creek, Big, Trib. To",,Surface Water
NEwr_WS126,,,Fresh,Fish Creek,,Surface Water
NEwr_WS127,,,Fresh,Clearwater Creek,,Surface Water
NEwr_WS128,,,Fresh,Kriete Reservoir,,Surface Water
NEwr_WS129,,,Fresh,Brush Creek,,Surface Water
NEwr_WS130,,,Fresh,Squaw Creek,,Surface Water
NEwr_WS131,,,Fresh,White Clay Creek,,Surface Water
NEwr_WS132,,,Fresh,"Blue River, Big",,Surface Water
NEwr_WS133,,,Fresh,Dry Creek,,Surface Water
NEwr_WS134,,,Fresh,"Sandy Creek, Little, West",,Surface Water
NEwr_WS135,,,Fresh,Minnechaduza Creek,,Surface Water
NEwr_WS136,,,Fresh,"Sandy Creek, Little, West, Trib. To",,Surface Water
NEwr_WS137,,,Fresh,"Fiddler's Creek, tributary to",,Surface Water
NEwr_WS138,,,Fresh,Keya Paha River,,Surface Water
NEwr_WS139,,,Fresh,"Balls Branch, Trib. To",,Surface Water
NEwr_WS140,,,Fresh,"Lost Branch, Trib To",,Surface Water
NEwr_WS141,,,Fresh,Owl Creek,,Surface Water
NEwr_WS142,,,Fresh,"Blue Creek, Trib. To",,Surface Water
NEwr_WS143,,,Fresh,"Table Creek, South, Trib. To",,Surface Water
NEwr_WS144,,,Fresh,"Deroin Creek, Trib. To",,Surface Water
NEwr_WS145,,,Fresh,Missouri River,,Surface Water
NEwr_WS146,,,Fresh,"Loup River, North, Trib. To",,Surface Water
NEwr_WS147,,,Fresh,"Papillion Creek, West, Trib. To",,Surface Water
NEwr_WS148,,,Fresh,"Beal Slough, Trib. To",,Surface Water
NEwr_WS149,,,Fresh,"Loup River, South",,Surface Water
