System Name_Sys,System ID_Sys,System Type_Sys,System Status_Sys,History Year_Sys,Date Received_Sys,County_Sys,Use Cooling Percent_Sys,Use Process Percent_Sys,Use Domestic Percent_Sys,Use Miscellaneous Percent_Sys,Irrigation (Lawn and Garden) Percent_Sys,Acres Irrigated_Sys,Irrigation (Agriculture)_Sys,Acres Irrigated.1_Sys,DEQ ID_Sys,Population_Sys,Domestic Use_Sys,Commercial Use_Sys,Industrial Use_Sys,Institutional Use_Sys,Total Use_Sys,Domestic Connections_Sys,Commercial Connections_Sys,Industrial Connections_Sys,Institutional Connections_Sys,Total Connections_Sys,Peak Date_Sys,Peak Demand_Sys,Peak Demand Units_Sys,Peak Use Include_Sys,Peak Measurement Type_Sys,Peak Wholesale Volume_Sys,Peak Wholesale Volume Units_Sys,SystemID_Year_ID,System Name_Sour,System ID_Sour,Source Name_Sour,Source ID_Sour,Source Status_Sour,Lat NAD83_Sour,Lon NAD83_Sour,Source Type_Sour,Diversion Type_Sour,Use Type_Sour,Year_Sour,Units_Sour,Jan_Sour,Feb_Sour,Mar_Sour,Apr_Sour,May_Sour,Jun_Sour,Jul_Sour,Aug_Sour,Sep_Sour,Oct_Sour,Nov_Sour,Dec_Sour,Total_Sour,Unnamed: 25,Unnamed: 26,Unnamed: 27,TimeframeEnd,TimeframeStart
Provo City Water Resources Division (Culinary),1010,Public,Active,2019,3/25/2020,Utah,,,,,,,,,25006,116713.0,4069883.0,2286247.0,9841.0,538437.0,6904408.0,17483.0,1936.0,17.0,171.0,19607.0,7/22/2019,49064.0,kgallons,Indoor and Outdoor,,,,10102019,Provo City Water Resources Division (Culinary),1010,Rock Canyon Springs (WS024),10100017,Active,40.26548076,-111.62301799999999,Spring,Withdrawal,Water Supplier,2019,kgallons,1798.0,1601.0,1788.0,11016.0,68077.0,82768.0,67610.0,30793.0,14832.0,11202.0,8524.0,1433.0,301442.0,,,,2019-12-31,2019-01-01
Provo City Water Resources Division (Culinary),1010,Public,Active,2019,3/25/2020,Utah,,,,,,,,,25006,116713.0,4069883.0,2286247.0,9841.0,538437.0,6904408.0,17483.0,1936.0,17.0,171.0,19607.0,7/22/2019,49064.0,kgallons,Indoor and Outdoor,,,,10102019,Provo City Water Resources Division (Culinary),1010,"Parkside,Nunn Springs (WS015), (WS016)",10100018,Active,40.33265227,-111.61766680000001,Spring,Withdrawal,Water Supplier,2019,kgallons,43823.0,40471.0,36798.0,63852.0,44892.0,92913.0,92650.0,130635.0,129498.0,96308.0,66844.0,62329.0,901013.0,,,,2019-12-31,2019-01-01
Provo City Water Resources Division (Culinary),1010,Public,Active,2019,3/25/2020,Utah,,,,,,,,,25006,116713.0,4069883.0,2286247.0,9841.0,538437.0,6904408.0,17483.0,1936.0,17.0,171.0,19607.0,7/22/2019,49064.0,kgallons,Indoor and Outdoor,,,,10102019,Provo City Water Resources Division (Culinary),1010,South Fork Springs (Group 6),10100019,Active,40.33973634,-111.60485619999999,Spring,Withdrawal,Water Supplier,2019,kgallons,189204.0,170938.0,193310.0,196831.0,206183.0,201780.0,223938.0,249656.0,237404.0,239098.0,176947.0,219224.0,2504513.0,,,,2019-12-31,2019-01-01
Provo City Water Resources Division (Culinary),1010,Public,Active,2019,3/25/2020,Utah,,,,,,,,,25006,116713.0,4069883.0,2286247.0,9841.0,538437.0,6904408.0,17483.0,1936.0,17.0,171.0,19607.0,7/22/2019,49064.0,kgallons,Indoor and Outdoor,,,,10102019,Provo City Water Resources Division (Culinary),1010,"Thayer Flat/Rotary Park Springs WS017,18",108545265,Active,40.33644018,-111.6118517,Spring,Withdrawal,Water Supplier,2019,kgallons,67456.0,50857.0,73255.0,64812.0,128404.0,130504.0,138480.0,147188.0,120398.0,95904.0,95102.0,80908.0,1193268.0,,,,2019-12-31,2019-01-01
Provo City Water Resources Division (Culinary),1010,Public,Active,2018,2/22/2019,Utah,,,,,,,,,25006,117331.0,4642238.692,2534664.004,15439.604,707511.566,7899853.866,17337.0,1936.0,17.0,179.0,19469.0,7/6/2018,51340.0,kgallons,Indoor and Outdoor,Metered,,,10102018,Provo City Water Resources Division (Culinary),1010,"Parkside,Nunn Springs (WS015), (WS016)",10100018,Active,40.33265227,-111.61766680000001,Spring,Withdrawal,Water Supplier,2018,kgallons,62044.2,48097.685,49448.329000000005,43092.015,42378.5,33682.328,35280.503,40450.757000000005,47390.843,47082.47900000001,45801.343,43431.657,538180.639,,,,2018-12-31,2018-01-01
Provo City Water Resources Division (Culinary),1010,Public,Active,2018,2/22/2019,Utah,,,,,,,,,25006,117331.0,4642238.692,2534664.004,15439.604,707511.566,7899853.866,17337.0,1936.0,17.0,179.0,19469.0,7/6/2018,51340.0,kgallons,Indoor and Outdoor,Metered,,,10102018,Provo City Water Resources Division (Culinary),1010,"Thayer Flat/Rotary Park Springs WS017,18",108545265,Active,40.33644018,-111.6118517,Spring,Withdrawal,Water Supplier,2018,kgallons,80351.0,68222.0,76570.0,75648.0,80551.0,72772.0,75501.0,80497.0,73899.0,70504.0,66362.0,66857.0,887734.0,,,,2018-12-31,2018-01-01
Provo City Water Resources Division (Culinary),1010,Public,Active,2017,3/20/2018,Utah,,,,,,,,,25006,120660.0,4501060.683999999,2378636.838,15298.168,673402.3659999999,7568398.056,17082.0,1887.0,17.0,190.0,19176.0,7/7/2017,49096.0,kgallons,Indoor and Outdoor,Metered,,,10102017,Provo City Water Resources Division (Culinary),1010,"Parkside,Nunn Springs (WS015), (WS016)",10100018,Active,40.33265227,-111.61766680000001,Spring,Withdrawal,Water Supplier,2017,kgallons,108981.0,93018.0,150558.0,150772.0,171362.0,194915.0,274089.0,251884.0,177209.0,144664.0,125779.0,114917.0,1958148.0,,,,2017-12-31,2017-01-01
Provo City Water Resources Division (Culinary),1010,Public,Active,2002,2/27/2003,Utah,,,,,,,,,25006,109645.0,4551166.903,2437368.6859999998,65072.530289999995,987981.5314,8110279.131,15330.0,1540.0,8.0,68.0,16952.0,,,,,,,,10102002,Provo City Water Resources Division (Culinary),1010,City Center Well,10100010,Inactive,40.23276874,-111.6642168,Well,Withdrawal,Industrial,2002,kgallons,17270.12571,16292.571430000002,17270.12571,16618.42286,17270.12571,16618.42286,17270.12571,10753.09714,0.0,0.0,16618.42286,17270.12571,163251.5657,,,,2002-12-31,2002-01-01
Provo City Water Resources Division (Culinary),1010,Public,Active,1999,3/2/2000,Utah,,,,,,,,,25006,110418.0,4816575.484,1438764.914,712620.4875,950116.9803,7970666.518999999,12658.0,3711.0,30.0,64.0,16463.0,,,,,,,,10101999,Provo City Water Resources Division (Culinary),1010,City Center Well,10100010,Inactive,40.23276874,-111.6642168,Well,Withdrawal,Industrial,1999,kgallons,17270.12571,16292.571430000002,17270.12571,16618.42286,17270.12571,16618.42286,17270.12571,17270.12571,16618.42286,17270.12571,16618.42286,17270.12571,203657.1429,,,,1999-12-31,1999-01-01
Provo City Water Resources Division (Culinary),1010,Public,Active,1998,3/8/1999,Utah,,,,,,,,,25006,109000.0,4607538.968,987329.5646,329109.8549,1634470.505,7591035.155,14232.0,1622.0,70.0,60.0,15984.0,,,,,,,,10101998,Provo City Water Resources Division (Culinary),1010,City Center Well,10100010,Inactive,40.23276874,-111.6642168,Well,Withdrawal,Industrial,1998,kgallons,17270.12571,16292.571430000002,17270.12571,16618.42286,17270.12571,16618.42286,17270.12571,17270.12571,16618.42286,17270.12571,16618.42286,17270.12571,203657.1429,,,,1998-12-31,1998-01-01
South Robinson Spring Water Users,1011,Public,Active,2019,2/4/2020,Morgan,,,,,,,,,15018,35.0,5322.804,0.0,0.0,0.0,5322.804,12.0,0.0,0.0,0.0,12.0,,,,,,,,10112019,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2019,kgallons,443.56699999999995,443.56699999999995,443.56699999999995,443.56699999999995,443.56699999999995,443.56699999999995,443.56699999999995,443.56699999999995,443.56699999999995,443.56699999999995,443.56699999999995,443.56699999999995,5322.804,,,,2019-12-31,2019-01-01
South Robinson Spring Water Users,1011,Public,Active,2009,3/25/2010,Morgan,,,,,,,,,15018,40.0,9672.201,0.0,0.0,0.0,9672.201,12.0,0.0,0.0,0.0,12.0,,,,,,,,10112009,South Robinson Spring Water Users,1011,So. Robinson Spring (WS001),10110001,Active,41.05113675,-111.6711419,Spring,Withdrawal,Water Supplier,2009,kgallons,821.475,741.972,821.475,794.9760000000001,821.475,794.9760000000001,821.475,821.475,794.9760000000001,821.475,794.9760000000001,821.475,9672.201,,,,2009-12-31,2009-01-01
